fighter_name,has_ufc_stats_url,ufc_stats_url
Isaac Dulgarian,True,http://ufcstats.com/fighter-details/a57cb948c4c70a47
Isaac Thomson,True,http://ufcstats.com/fighter-details/5d8006587d6a6711
Islam Dulatov,True,http://ufcstats.com/fighter-details/e803242fb2e41112
Islam Makhachev,True,http://ufcstats.com/fighter-details/275aca31f61ba28c
Ismael Bonfim,True,http://ufcstats.com/fighter-details/eb393afdbe3293d5
Ismail Naurdiev,True,http://ufcstats.com/fighter-details/6a96ad1bc34fb113
Israel Adesanya,True,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Istela Nunes,True,http://ufcstats.com/fighter-details/efc67b07eed39794
Ivan Erslan,True,http://ufcstats.com/fighter-details/64ad3e3b0efa30bb
Ivana Petrovic,True,http://ufcstats.com/fighter-details/38c5817ade8a8014
Iwo Baraniewski,True,http://ufcstats.com/fighter-details/1c23ec2f1b71be40
JJ Aldrich,True,http://ufcstats.com/fighter-details/6fd953151d981979
JP Buys,True,http://ufcstats.com/fighter-details/0b362247806341e5
Jack Della Maddalena,True,http://ufcstats.com/fighter-details/6b453bc35a823c3f
Jack Hermansson,True,http://ufcstats.com/fighter-details/0a1942069c9ad6b6
Jack Jenkins,True,http://ufcstats.com/fighter-details/a9da3158dd2c2b5a
Jack Shore,True,http://ufcstats.com/fighter-details/b8a85389d115e35a
Jackson McVey,True,http://ufcstats.com/fighter-details/3eeec2f53cebdf12
Jacob Malkoun,True,http://ufcstats.com/fighter-details/d4270315cbcf2569
Jacobe Smith,True,http://ufcstats.com/fighter-details/85497ffd934ecf7e
